"Imuno";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"091 Pneumocócica(1º ref)";87,08;72,92;78,05;82,38;62,77;63,38;83,63;71,87;78,63;97,47;78,64;75,83;85,02;89,94;82,16;69,24;88,37;88,49;72,79;80,16;85,39;83,39;80,50;88,49;79,62;80,45;78,12;80,02
"092 Meningococo C (1º ref)";89,85;67,18;76,55;85,11;58,33;62,00;72,75;69,18;77,74;99,62;74,04;75,40;84,89;90,89;81,35;71,72;89,42;81,28;70,44;80,43;87,30;85,64;76,67;88,61;81,05;81,81;83,82;79,72
"093 Poliomielite(1º ref)";74,59;58,39;66,96;86,01;50,32;38,73;74,42;58,33;57,16;85,50;64,40;69,70;75,44;83,15;71,04;56,60;81,57;76,52;66,81;74,56;78,42;81,69;76,19;100,60;70,91;71,07;71,26;71,90
"021 Tríplice Viral  D1";102,03;82,94;90,09;105,04;76,15;77,01;90,39;82,64;86,86;110,24;88,06;95,77;104,46;106,07;95,30;80,39;96,77;95,37;99,31;90,38;89,37;91,48;88,55;104,12;90,81;87,28;86,99;91,89
"098 Tríplice Viral  D2";79,41;72,05;77,98;90,70;58,67;63,83;78,12;56,12;68,04;86,44;63,91;71,38;69,49;71,34;71,91;63,24;84,50;79,43;69,95;81,41;86,81;83,17;83,30;97,30;80,46;76,42;88,69;76,49
"097 Tetra Viral(SRC+VZ)";53,71;59,21;58,49;73,75;47,09;51,12;65,26;15,05;2,50;11,54;11,71;8,10;10,84;19,68;0,87;4,89;9,33;7,20;8,82;36,80;63,01;68,38;68,53;78,43;61,21;59,20;82,74;32,46
"075 DTP";99,91;69,77;79,06;86,80;57,25;63,14;89,43;79,49;85,41;105,58;88,84;91,00;94,07;97,46;90,92;76,30;95,73;89,78;87,82;90,45;87,93;91,21;83,60;94,52;89,44;83,30;84,16;87,31
"102 DTP REF (4 e 6 anos)";2,15;2,51;2,40;7,26;1,69;2,90;1,18;1,95;1,29;1,75;2,12;1,76;1,99;2,31;2,36;1,49;1,64;1,30;2,64;1,86;1,69;1,45;1,85;1,92;2,06;2,37;3,66;1,93
"095 Tríplice Bacteriana(DTP)(1º ref)";71,22;62,95;68,96;80,67;52,40;52,08;70,94;61,29;65,71;76,68;63,32;61,04;71,99;76,82;66,61;60,44;80,94;64,79;58,01;68,08;63,82;71,47;69,59;85,83;71,68;62,44;74,76;67,49
"094 Dupla adulto e tríplice acelular gestante";48,30;45,81;56,72;41,23;42,67;48,71;48,25;44,39;50,74;74,49;48,04;50,25;58,84;67,22;47,77;32,95;45,28;59,66;44,48;41,16;44,05;51,32;47,04;63,00;50,05;38,65;55,65;47,02
"003 dTpa gestante";61,99;62,62;70,89;63,00;54,51;57,12;73,95;62,97;67,47;81,84;62,13;63,67;68,16;72,93;62,05;52,10;72,03;78,79;59,44;54,68;68,90;66,85;62,34;69,92;63,81;64,20;64,21;63,06
"Total";90,19;73,66;80,13;90,89;61,96;68,29;86,33;70,16;75,34;87,67;74,34;74,99;78,32;80,00;76,17;67,82;91,25;83,54;71,42;81,25;87,47;87,93;80,84;91,67;85,71;79,40;86,20;79,67
