 Imunizações - Cobertura - Brasil
Doses Cáculos CV por Ano e Unidade da Federação
Período:1994-2019
"Ano";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"2005";698279;353552;1613814;210400;3928530;323676;633116;3300894;1380359;3637003;1208144;1591982;3728745;1442279;838923;6057144;7335918;1337730;5737326;14359891;3820725;2049994;3626787;945137;1266069;2339329;954613;74720359
"2006";702254;349014;1685221;207007;4003528;326160;648132;3338694;1409417;3555125;1214854;1585239;3749519;1399699;867588;5968643;7275695;1350601;5590987;14512994;3912713;2095555;3604845;974966;1239094;2366568;989724;74923836
"2007";671022;386861;1704003;218408;3997712;326178;647636;3478280;1409679;3578539;1211525;1612476;3819635;1361961;905294;5877705;7274762;1342801;5644703;14465201;3938642;2082713;3507487;987297;1263603;2428428;1035290;75177841
"2008";670070;379638;1647149;203350;3856972;319122;625972;3335303;1340657;3408148;1169816;1554440;3657438;1306284;879278;5676499;7066647;1312947;5418391;14273089;3806543;2073138;3417420;974861;1225930;2322350;1000883;72922335
"2009";681503;390602;1703841;225293;3699454;354299;629942;3299816;1344452;3436035;1208269;1576092;3740084;1393230;873594;5812462;7223274;1327848;5589928;14739743;3934622;2135501;3480942;1023854;1232897;2351035;1002519;74411131
"2010";647582;375827;1658753;216961;3535221;318085;599042;3420909;1274272;3358407;1176268;1547527;3579686;1310661;851030;5651502;7414886;1318686;5397199;14671666;3911435;2158029;3411391;993508;1151191;2274623;977874;73202221
"2011";435345;257132;1090240;146403;2159285;200416;393544;1938353;790815;1973183;715550;894610;2264640;736926;530191;3319588;4334695;818355;3271147;9151228;2415754;1322747;1972214;647692;762483;1515006;582929;44640471
"2012";427785;240469;1149204;134478;2120596;201291;364498;1834049;767241;1875068;700617;815971;2122509;747338;503959;3222132;3998586;783980;3034612;8821199;2330836;1277068;1861452;639969;754284;1375687;615304;42720182
"2013";487788;240916;1173912;137917;2217128;235158;419059;2049197;830563;2162076;739553;963126;2334099;840673;600576;3568011;4784266;882253;3452853;10297960;2728430;1467668;2326594;792827;882673;1637161;858143;49110580
"2014";664623;254867;1546920;223255;2577588;291264;520696;2506954;929808;3097412;976055;1185760;3098012;1124168;733179;4552090;5908170;1221179;4792974;13755784;3393790;2047870;2980144;1186794;1204418;2068419;1000131;63842324
"2015";692060;294119;1721877;261569;2121121;317476;500465;2470155;843986;3090798;955413;1091866;3270650;1114133;714208;4326712;5849587;1220295;4947569;13859265;3425656;2066422;2808159;1097563;1218562;2012864;732494;63025044
"2016";619782;259444;1404249;223781;1986047;309878;473930;1768910;766717;2772563;715152;933768;2643965;871125;550085;3231420;5192087;1018857;4269415;10615615;2978313;1789983;2601252;937525;1117107;1808414;1331740;53191124
"2017";580329;265563;1412102;223177;2067185;240586;496697;1804725;794144;2527779;651844;946139;2454143;905807;562373;3317966;5320343;980208;4170602;11187566;3121299;1742437;2633986;888047;1074008;1852394;910783;53132232
"2018";554429;266548;1435823;237162;1994916;241570;469306;1808791;813143;2596746;773048;974210;2410864;926598;574293;3165767;5380265;1042704;3678944;11407247;3143311;1933449;2675382;900946;1053524;1764350;887622;53110958
"2019";344707;183891;996366;146819;1299432;165800;337453;1123803;520133;1559778;427102;608801;1536040;584861;375131;1933369;3396051;697564;1506798;7249108;2226662;1436410;1829584;569408;657632;1139751;609503;33461957
"Total";13579585;6538933;31196446;4334259;64447319;6025103;11640134;56584379;24205309;67305775;21737039;27688567;69511165;24915175;16167894;104332948;133030903;25874717;102583485;277238149;74590280;41606715;67951747;19569152;23814777;44441261;19195368;1380106584
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

